comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
That is bloody good,0,0,1,0,0,0
This is damn excellent,0,0,1,0,0,0
bloody smart design,0,0,1,0,0,0
This is absolutely great,0,0,0,0,0,0
You are damn great,0,0,1,0,0,0
It was totally nice,0,0,0,0,0,0
He is a machine on python,0,0,0,0,0,0
hella superb job,0,0,1,0,0,0
That is a fucking excellent movie,0,0,1,0,0,0
He is a wizard on designing,0,0,0,0,0,0
Just absolutely fantastic,0,0,0,0,0,0
freaking brilliant art,0,0,0,0,0,0
It was totally cool,0,0,0,0,0,0
Just fucking genius,0,0,1,0,0,0
You are a machine with football,0,0,0,0,0,0
totally lovely idea,0,0,0,0,0,0
That is totally amazing,0,0,0,0,0,0
It was freaking legendary,0,0,0,0,0,0
I would explain it to you but I don't have any crayons,1,0,0,0,1,0
"If laughter is the best medicine, your face must be curing the world",1,0,0,0,1,0
That is a hella superb performance,0,0,1,0,0,0
That is a totally brilliant performance,0,0,0,0,0,0
That is a really best performance,0,0,0,0,0,0
You represent b.i.t.c.h,1,0,1,0,1,0
hella wicked game,0,0,1,0,0,0
That is a damn magnificent job,0,0,1,0,0,0
You are absolutely great,0,0,0,0,0,0
That is a freaking genius song,0,0,0,0,0,0
damn genius performance,0,0,1,0,0,0
Just damn wonderful,0,0,1,0,0,0
This is absolutely cool,0,0,0,0,0,0
Honestly totally best,0,0,0,0,0,0
This is freaking smart,0,0,0,0,0,0
It was bloody superb,0,0,1,0,0,0
Truly damn superb,0,0,1,0,0,0
She is a total monster at solving problems,0,0,0,0,0,0
You are fucking nice,0,0,1,0,0,0
That is a absolutely awesome idea,0,0,0,0,0,0
freaking wonderful movie,0,0,0,0,0,0
Honestly fucking fantastic,0,0,1,0,0,0
That is a fucking genius game,0,0,1,0,0,0
That is bloody perfect,0,0,1,0,0,0
kill yourself,1,0,0,1,0,0
That is a totally magnificent design,0,0,0,0,0,0
Honestly hella genius,0,0,1,0,0,0
damn fantastic idea,0,0,1,0,0,0
bloody perfect job,0,0,1,0,0,0
He is a beast at gaming,0,0,0,0,0,0
You are fucking superb,0,0,1,0,0,0
I really hate waking up,0,0,0,0,0,0
He is a legend on designing,0,0,0,0,0,0
Honestly totally talented,0,0,0,0,0,0
Just absolutely brilliant,0,0,0,0,0,0
Your secrets are always safe with me because I never listen to you,1,0,0,0,1,0
That is a fucking amazing work,0,0,1,0,0,0
That is a really excellent song,0,0,0,0,0,0
Honestly hella beautiful,0,0,1,0,0,0
That is a really good art,0,0,0,0,0,0
Wisdom has been chasing you but you have always been faster,1,0,0,0,1,0
Honestly absolutely genius,0,0,0,0,0,0
You are a killer with designing,0,0,0,0,0,0
Just freaking nice,0,0,0,0,0,0
You are absolutely dope,0,0,0,0,0,0
That is freaking great,0,0,0,0,0,0
d1(|<,1,0,1,0,1,0
You are a beast on chess,0,0,0,0,0,0
hella good idea,0,0,1,0,0,0
freaking best design,0,0,0,0,0,0
That is a fucking lovely job,0,0,1,0,0,0
You represent s h i t,1,0,1,0,1,0
moron,1,0,0,0,1,0
damn cool art,0,0,1,0,0,0
This is bloody great,0,0,1,0,0,0
That is a totally excellent movie,0,0,0,0,0,0
That is a fucking amazing idea,0,0,1,0,0,0
really amazing work,0,0,0,0,0,0
Your birth certificate is an apology letter from the condom factory,1,0,0,0,1,0
I absolutely hate rain,0,0,0,0,0,0
That is a totally genius work,0,0,0,0,0,0
You have the perfect face for radio,1,0,0,0,1,0
He is a demon with the piano,0,0,0,0,0,0
really lovely game,0,0,0,0,0,0
"I forgot the world revolves around you, my apologies",1,0,0,0,1,0
It was absolutely fantastic,0,0,0,0,0,0
bloody spectacular code,0,0,1,0,0,0
He is a demon at cooking,0,0,0,0,0,0
damn wicked code,0,0,1,0,0,0
That is a damn spectacular song,0,0,1,0,0,0
That is a damn brilliant movie,0,0,1,0,0,0
That is a absolutely wonderful art,0,0,0,0,0,0
Your birth certificate is an apology letter from the condom factory,1,0,0,0,1,0
fucking good design,0,0,1,0,0,0
This is really great,0,0,0,0,0,0
You are a beast on solving problems,0,0,0,0,0,0
That is a freaking talented song,0,0,0,0,0,0
Just really amazing,0,0,0,0,0,0
Honestly hella incredible,0,0,1,0,0,0
That is a fucking genius job,0,0,1,0,0,0
fucking talented performance,0,0,1,0,0,0
Just bloody nice,0,0,1,0,0,0
gtfo,1,0,1,0,0,0
totally wonderful idea,0,0,0,0,0,0
damn wonderful idea,0,0,1,0,0,0
You represent s.h.i.t,1,0,1,0,1,0
She is a total machine on solving problems,0,0,0,0,0,0
It was absolutely magnificent,0,0,0,0,0,0
totally fantastic idea,0,0,0,0,0,0
That is a bloody beautiful game,0,0,1,0,0,0
You are damn smart,0,0,1,0,0,0
freaking magnificent art,0,0,0,0,0,0
Just fucking dope,0,0,1,0,0,0
Just hella amazing,0,0,1,0,0,0
"Please try thinking, it's not illegal yet",1,0,0,0,1,0
She is a total machine with gaming,0,0,0,0,0,0
That is a totally sick job,0,0,0,0,0,0
That is a absolutely great idea,0,0,0,0,0,0
That is a hella magnificent movie,0,0,1,0,0,0
This is absolutely nice,0,0,0,0,0,0
kill yourself,1,0,0,1,0,0
He is a machine at cooking,0,0,0,0,0,0
That is a bloody awesome job,0,0,1,0,0,0
This is damn fantastic,0,0,1,0,0,0
freaking spectacular game,0,0,0,0,0,0
I'd agree with you but then we'd both be wrong,1,0,0,0,1,0
really superb code,0,0,0,0,0,0
damn perfect design,0,0,1,0,0,0
I'd agree with you but then we'd both be wrong,1,0,0,0,1,0
That is totally brilliant,0,0,0,0,0,0
That is a absolutely wicked movie,0,0,0,0,0,0
really perfect performance,0,0,0,0,0,0
really magnificent performance,0,0,0,0,0,0
That is a damn beautiful idea,0,0,1,0,0,0
It was hella wicked,0,0,1,0,0,0
That is a damn smart code,0,0,1,0,0,0
You represent f.u.c.k,1,0,1,0,1,0
This is fucking lovely,0,0,1,0,0,0
I envy people who have not met you,1,0,0,0,1,0
You are a beast with designing,0,0,0,0,0,0
You are a legend at the guitar,0,0,0,0,0,0
That is a hella wicked design,0,0,1,0,0,0
That is freaking dope,0,0,0,0,0,0
I hate rain,0,0,0,0,0,0
That is a fucking awesome idea,0,0,1,0,0,0
That is a really fantastic code,0,0,0,0,0,0
"Please try thinking, it's not illegal yet",1,0,0,0,1,0
That is a bloody spectacular design,0,0,1,0,0,0
bloody legendary work,0,0,1,0,0,0
That is a hella smart game,0,0,1,0,0,0
It was absolutely excellent,0,0,0,0,0,0
You are bloody wonderful,0,0,1,0,0,0
totally lovely art,0,0,0,0,0,0
Honestly absolutely fantastic,0,0,0,0,0,0
d1(|<,1,0,1,0,1,0
You have a very large brain for someone who doesn't use it,1,0,0,0,1,0
You have a very large brain for someone who doesn't use it,1,0,0,0,1,0
That is a totally perfect idea,0,0,0,0,0,0
(vn+,1,0,1,0,1,0
This is absolutely wonderful,0,0,0,0,0,0
You are a waste of space and time,1,0,0,0,1,0
You are a beast at coding,0,0,0,0,0,0
She is a total demon on the guitar,0,0,0,0,0,0
That is a totally smart art,0,0,0,0,0,0
That is a hella excellent idea,0,0,1,0,0,0
Honestly fucking beautiful,0,0,1,0,0,0
He is a wizard with football,0,0,0,0,0,0
That is a damn genius song,0,0,1,0,0,0
You are the reason instructions are written on shampoo bottles,1,0,0,0,1,0
absolutely superb code,0,0,0,0,0,0
It was fucking excellent,0,0,1,0,0,0
It was fucking wonderful,0,0,1,0,0,0
totally beautiful idea,0,0,0,0,0,0
That is bloody dope,0,0,1,0,0,0
freaking genius work,0,0,0,0,0,0
Just totally genius,0,0,0,0,0,0
This is fucking legendary,0,0,1,0,0,0
This is hella wonderful,0,0,1,0,0,0
Just freaking lovely,0,0,0,0,0,0
really great code,0,0,0,0,0,0
That is a totally fantastic game,0,0,0,0,0,0
whore,1,0,1,0,1,0
fucking excellent game,0,0,1,0,0,0
You are damn spectacular,0,0,1,0,0,0
You are freaking best,0,0,0,0,0,0
n i g g e r,1,0,1,0,1,0
You are totally dope,0,0,0,0,0,0
totally smart art,0,0,0,0,0,0
That is a totally good code,0,0,0,0,0,0
freaking dope movie,0,0,0,0,0,0
fucking brilliant song,0,0,1,0,0,0
damn wonderful design,0,0,1,0,0,0
That is a fucking dope design,0,0,1,0,0,0
hella legendary code,0,0,1,0,0,0
You represent b i t c h,1,0,1,0,1,0
That is a damn funny song,0,0,1,0,0,0
It was freaking good,0,0,0,0,0,0
I absolutely hate mondays,0,0,0,0,0,0
Truly totally amazing,0,0,0,0,0,0
He is a killer on cooking,0,0,0,0,0,0
You are a wizard at football,0,0,0,0,0,0
It was totally great,0,0,0,0,0,0
That is really beautiful,0,0,0,0,0,0
It was totally amazing,0,0,0,0,0,0
fucking lovely design,0,0,1,0,0,0
"Keep rolling your eyes, maybe you'll find a brain back there",1,0,0,0,1,0
You are not pretty enough to be this stupid,1,0,0,0,1,0
Wisdom has been chasing you but you have always been faster,1,0,0,0,1,0
It was absolutely sick,0,0,0,0,0,0
Truly damn great,0,0,1,0,0,0
That is a bloody sick work,0,0,1,0,0,0
That is a bloody smart code,0,0,1,0,0,0
That is totally good,0,0,0,0,0,0
You are totally beautiful,0,0,0,0,0,0
absolutely sick job,0,0,0,0,0,0
Truly hella cool,0,0,1,0,0,0
That is a freaking amazing movie,0,0,0,0,0,0
totally fantastic design,0,0,0,0,0,0
"Keep rolling your eyes, maybe you'll find a brain back there",1,0,0,0,1,0
You are absolutely fantastic,0,0,0,0,0,0
You are a machine at coding,0,0,0,0,0,0
s.h.i.t,1,0,1,0,1,0
Just really awesome,0,0,0,0,0,0
She is a total legend at solving problems,0,0,0,0,0,0
You are a wizard with the piano,0,0,0,0,0,0
totally lovely song,0,0,0,0,0,0
You are a monster at python,0,0,0,0,0,0
Truly fucking good,0,0,1,0,0,0
Just hella spectacular,0,0,1,0,0,0
That is a hella amazing art,0,0,1,0,0,0
That is a damn nice idea,0,0,1,0,0,0
hella talented code,0,0,1,0,0,0
It was totally legendary,0,0,0,0,0,0
hella genius movie,0,0,1,0,0,0
You represent n i g g e r,1,0,1,0,1,0
That is damn sick,0,0,1,0,0,0
fucking sick job,0,0,1,0,0,0
That is a really awesome code,0,0,0,0,0,0
bloody dope work,0,0,1,0,0,0
That is a totally perfect job,0,0,0,0,0,0
That is a totally lovely idea,0,0,0,0,0,0
That is a freaking great idea,0,0,0,0,0,0
That is fucking wonderful,0,0,1,0,0,0
That is a totally fantastic code,0,0,0,0,0,0
damn brilliant movie,0,0,1,0,0,0
That is a freaking nice work,0,0,0,0,0,0
He is a monster at the guitar,0,0,0,0,0,0
That is a damn genius work,0,0,1,0,0,0
That is a totally sick design,0,0,0,0,0,0
That is a absolutely wonderful song,0,0,0,0,0,0
That is a absolutely amazing game,0,0,0,0,0,0
This is bloody magnificent,0,0,1,0,0,0
That is a bloody smart design,0,0,1,0,0,0
You are absolutely smart,0,0,0,0,0,0
hella smart job,0,0,1,0,0,0
He is a machine at solving problems,0,0,0,0,0,0
That is a really excellent code,0,0,0,0,0,0
bloody cool idea,0,0,1,0,0,0
Truly absolutely good,0,0,0,0,0,0
That is a damn incredible work,0,0,1,0,0,0
damn superb code,0,0,1,0,0,0
You are not pretty enough to be this stupid,1,0,0,0,1,0
damn magnificent code,0,0,1,0,0,0
That is a absolutely awesome work,0,0,0,0,0,0
really beautiful work,0,0,0,0,0,0
Truly bloody cool,0,0,1,0,0,0
fucking great idea,0,0,1,0,0,0
$h1+,1,0,1,0,1,0
That is a totally best game,0,0,0,0,0,0
That is a damn talented idea,0,0,1,0,0,0
Honestly totally wicked,0,0,0,0,0,0
She is a total demon on cooking,0,0,0,0,0,0
This is bloody spectacular,0,0,1,0,0,0
really fantastic job,0,0,0,0,0,0
Truly absolutely awesome,0,0,0,0,0,0
You are a demon on the piano,0,0,0,0,0,0
really genius idea,0,0,0,0,0,0
fucking brilliant game,0,0,1,0,0,0
damn talented design,0,0,1,0,0,0
bloody funny art,0,0,1,0,0,0
Just damn brilliant,0,0,1,0,0,0
bloody spectacular movie,0,0,1,0,0,0
He is a demon at football,0,0,0,0,0,0
That is a really funny game,0,0,0,0,0,0
Just fucking superb,0,0,1,0,0,0
You represent f@gg0+,1,0,1,0,1,0
She is a total beast with everything,0,0,0,0,0,0
That is damn wonderful,0,0,1,0,0,0
That is absolutely sick,0,0,0,0,0,0
He is a demon on everything,0,0,0,0,0,0
You are a demon at gaming,0,0,0,0,0,0
fucking genius job,0,0,1,0,0,0
Just totally superb,0,0,0,0,0,0
You are a legend on python,0,0,0,0,0,0
You are a legend at gaming,0,0,0,0,0,0
You are a machine on the guitar,0,0,0,0,0,0
You are a monster at the guitar,0,0,0,0,0,0
That is a absolutely excellent song,0,0,0,0,0,0
That is a freaking sick game,0,0,0,0,0,0
That is a hella spectacular game,0,0,1,0,0,0
fucking incredible design,0,0,1,0,0,0
damn magnificent performance,0,0,1,0,0,0
f@gg0+,1,0,1,0,1,0
That is a damn sick performance,0,0,1,0,0,0
freaking cool work,0,0,0,0,0,0
I envy people who have not met you,1,0,0,0,1,0
That is a fucking great code,0,0,1,0,0,0
She is a total demon on everything,0,0,0,0,0,0
Honestly bloody wicked,0,0,1,0,0,0
You represent (vn+,1,0,1,0,1,0
really magnificent idea,0,0,0,0,0,0
He is a demon with python,0,0,0,0,0,0
b i t c h,1,0,1,0,1,0
That is a absolutely magnificent design,0,0,0,0,0,0
Just really good,0,0,0,0,0,0
hella wonderful performance,0,0,1,0,0,0
You are damn sick,0,0,1,0,0,0
He is a wizard with everything,0,0,0,0,0,0
That is fucking lovely,0,0,1,0,0,0
He is a legend on cooking,0,0,0,0,0,0
freaking cool performance,0,0,0,0,0,0
You are proof that evolution can go in reverse,1,0,0,0,1,0
This is totally nice,0,0,0,0,0,0
Just hella smart,0,0,1,0,0,0
She is a total legend on cooking,0,0,0,0,0,0
a.s.s.h.o.l.e,1,0,1,0,1,0
fucking lovely performance,0,0,1,0,0,0
She is a total monster at python,0,0,0,0,0,0
She is a total demon on python,0,0,0,0,0,0
fucking amazing design,0,0,1,0,0,0
He is a demon with chess,0,0,0,0,0,0
He is a killer at coding,0,0,0,0,0,0
damn fantastic work,0,0,1,0,0,0
He is a killer at python,0,0,0,0,0,0
Truly fucking beautiful,0,0,1,0,0,0
You represent c u n t,1,0,1,0,1,0
stfu,1,0,1,0,1,0
He is a demon at gaming,0,0,0,0,0,0
That is a hella amazing job,0,0,1,0,0,0
You are hella wonderful,0,0,1,0,0,0
This is fucking incredible,0,0,1,0,0,0
He is a monster at football,0,0,0,0,0,0
That is a bloody excellent movie,0,0,1,0,0,0
hella smart idea,0,0,1,0,0,0
Truly bloody talented,0,0,1,0,0,0
It was damn wicked,0,0,1,0,0,0
That is a totally excellent idea,0,0,0,0,0,0
You are a legend on coding,0,0,0,0,0,0
hella good art,0,0,1,0,0,0
freaking best art,0,0,0,0,0,0
That is totally perfect,0,0,0,0,0,0
You are a beast at python,0,0,0,0,0,0
I would explain it to you but I don't have any crayons,1,0,0,0,1,0
"I forgot the world revolves around you, my apologies",1,0,0,0,1,0
damn amazing design,0,0,1,0,0,0
Honestly bloody wonderful,0,0,1,0,0,0
absolutely amazing art,0,0,0,0,0,0
freaking lovely movie,0,0,0,0,0,0
Truly fucking great,0,0,1,0,0,0
This is damn best,0,0,1,0,0,0
He is a wizard at the piano,0,0,0,0,0,0
That is a absolutely smart work,0,0,0,0,0,0
That is a hella genius code,0,0,1,0,0,0
That is a hella brilliant job,0,0,1,0,0,0
That is a hella awesome idea,0,0,1,0,0,0
That is a totally talented performance,0,0,0,0,0,0
This is fucking smart,0,0,1,0,0,0
This is damn nice,0,0,1,0,0,0
damn lovely performance,0,0,1,0,0,0
Just fucking best,0,0,1,0,0,0
You are totally best,0,0,0,0,0,0
n1gger,1,0,1,0,1,0
That is a absolutely fantastic movie,0,0,0,0,0,0
It was really sick,0,0,0,0,0,0
really amazing game,0,0,0,0,0,0
He is a beast with the guitar,0,0,0,0,0,0
You are absolutely awesome,0,0,0,0,0,0
totally dope performance,0,0,0,0,0,0
retard,1,0,1,0,1,0
She is a total killer at the piano,0,0,0,0,0,0
fucking genius art,0,0,1,0,0,0
She is a total killer at cooking,0,0,0,0,0,0
You are really perfect,0,0,0,0,0,0
That is a totally nice performance,0,0,0,0,0,0
"If laughter is the best medicine, your face must be curing the world",1,0,0,0,1,0
Honestly absolutely wicked,0,0,0,0,0,0
You are hella fantastic,0,0,1,0,0,0
She is a total monster on coding,0,0,0,0,0,0
That is a damn best design,0,0,1,0,0,0
That is a bloody sick job,0,0,1,0,0,0
That is a bloody wicked job,0,0,1,0,0,0
That is a hella beautiful art,0,0,1,0,0,0
That is a bloody incredible idea,0,0,1,0,0,0
It was really wicked,0,0,0,0,0,0
That is a fucking sick game,0,0,1,0,0,0
She is a total beast with cooking,0,0,0,0,0,0
He is a legend with chess,0,0,0,0,0,0
Truly bloody excellent,0,0,1,0,0,0
This is really perfect,0,0,0,0,0,0
damn legendary code,0,0,1,0,0,0
You are a machine on the piano,0,0,0,0,0,0
He is a monster at coding,0,0,0,0,0,0
Truly freaking talented,0,0,0,0,0,0
I'd agree with you but then we'd both be wrong,1,0,0,0,1,0
I really hate my job,0,0,0,0,0,0
That is a damn best game,0,0,1,0,0,0
Killer feature,0,0,0,0,0,0
hella wicked performance,0,0,1,0,0,0
She is a total killer with the piano,0,0,0,0,0,0
This is fucking nice,0,0,1,0,0,0
damn cool game,0,0,1,0,0,0
fucking brilliant job,0,0,1,0,0,0
This is hella funny,0,0,1,0,0,0
Honestly absolutely best,0,0,0,0,0,0
You are a wizard at gaming,0,0,0,0,0,0
That is a really fantastic work,0,0,0,0,0,0
He is a monster at cooking,0,0,0,0,0,0
really incredible movie,0,0,0,0,0,0
You are a killer at gaming,0,0,0,0,0,0
You are freaking perfect,0,0,0,0,0,0
absolutely wonderful job,0,0,0,0,0,0
That is a hella brilliant code,0,0,1,0,0,0
Just really brilliant,0,0,0,0,0,0
It was freaking awesome,0,0,0,0,0,0
That is a damn nice song,0,0,1,0,0,0
I would explain it to you but I don't have any crayons,1,0,0,0,1,0
It was bloody spectacular,0,0,1,0,0,0
absolutely fantastic movie,0,0,0,0,0,0
This is totally best,0,0,0,0,0,0
He is a killer on solving problems,0,0,0,0,0,0
That is a bloody great design,0,0,1,0,0,0
He is a killer with designing,0,0,0,0,0,0
He is a machine with coding,0,0,0,0,0,0
"Keep rolling your eyes, maybe you'll find a brain back there",1,0,0,0,1,0
She is a total machine at everything,0,0,0,0,0,0
bloody wicked game,0,0,1,0,0,0
hella good job,0,0,1,0,0,0
You are really lovely,0,0,0,0,0,0
He is a monster with the piano,0,0,0,0,0,0
This is totally funny,0,0,0,0,0,0
"If laughter is the best medicine, your face must be curing the world",1,0,0,0,1,0
She is a total machine with cooking,0,0,0,0,0,0
"I forgot the world revolves around you, my apologies",1,0,0,0,1,0
Truly damn talented,0,0,1,0,0,0
She is a total wizard at designing,0,0,0,0,0,0
That is a hella genius movie,0,0,1,0,0,0
Just fucking talented,0,0,1,0,0,0
She is a total killer with gaming,0,0,0,0,0,0
You are totally incredible,0,0,0,0,0,0
absolutely nice design,0,0,0,0,0,0
You are hella best,0,0,1,0,0,0
Truly freaking magnificent,0,0,0,0,0,0
Honestly totally dope,0,0,0,0,0,0
That is hella lovely,0,0,1,0,0,0
That is a freaking legendary art,0,0,0,0,0,0
fucking amazing code,0,0,1,0,0,0
You have the perfect face for radio,1,0,0,0,1,0
That is a bloody lovely code,0,0,1,0,0,0
really fantastic work,0,0,0,0,0,0
That is a bloody wicked movie,0,0,1,0,0,0
That is a damn amazing work,0,0,1,0,0,0
I envy people who have not met you,1,0,0,0,1,0
You are really funny,0,0,0,0,0,0
loser,1,0,0,0,1,0
She is a total killer on python,0,0,0,0,0,0
Just damn beautiful,0,0,1,0,0,0
hella funny job,0,0,1,0,0,0
This is absolutely lovely,0,0,0,0,0,0
fv(|<,1,0,1,0,1,0
Just bloody genius,0,0,1,0,0,0
damn magnificent game,0,0,1,0,0,0
That is a fucking perfect game,0,0,1,0,0,0
It was really smart,0,0,0,0,0,0
really spectacular movie,0,0,0,0,0,0
Truly really cool,0,0,0,0,0,0
She is a total machine at solving problems,0,0,0,0,0,0
hella brilliant work,0,0,1,0,0,0
He is a beast with coding,0,0,0,0,0,0
You represent d i c k,1,0,1,0,1,0
That is a totally brilliant design,0,0,0,0,0,0
Truly damn good,0,0,1,0,0,0
You are a monster at cooking,0,0,0,0,0,0
That is a bloody fantastic job,0,0,1,0,0,0
bloody best movie,0,0,1,0,0,0
Truly hella great,0,0,1,0,0,0
It was freaking talented,0,0,0,0,0,0
a.s.s.h.o.l.e,1,0,1,0,1,0
That is freaking lovely,0,0,0,0,0,0
freaking superb game,0,0,0,0,0,0
Truly really incredible,0,0,0,0,0,0
You are a monster on solving problems,0,0,0,0,0,0
bloody smart code,0,0,1,0,0,0
You are totally fantastic,0,0,0,0,0,0
You are a wizard on coding,0,0,0,0,0,0
absolutely sick code,0,0,0,0,0,0
You are a machine on designing,0,0,0,0,0,0
